Species,Chromosome,Gene,CoordinateStart,CoordinateEnd
Doryteuthis,Dpe11,Dopeav2040542m,106573605,106631196
Doryteuthis,Dpe02,Dopeav2004579m,21392858,21412121
Doryteuthis,Dpe41,Dopeav2126606m,23981864,23984968
Doryteuthis,Dpe03,Dopeav2009133m,30278102,30305587
Doryteuthis,Dpe34,Dopeav2111411m,58164983,58170812
Doryteuthis,Dpe23,Dopeav2080006m,80342404,80376233
Doryteuthis,Dpe06,Dopeav2021433m,59532694,59535711
Doryteuthis,Dpe10,Dopeav2037075m,120588690,120685886
Doryteuthis,Dpe21,Dopeav2074239m,81255134,81279932
Doryteuthis,Dpe02,Dopeav2006536m,84640348,84645284
Doryteuthis,Dpe14,Dopeav2050357m,89564468,89642998
Doryteuthis,Dpe27,Dopeav2089515m,452335,454416
Doryteuthis,Dpe03,Dopeav2011040m,109694934,109765962
Doryteuthis,Dpe31,Dopeav2101670m,21570659,21592205
Doryteuthis,Dpe16,Dopeav2057040m,28854116,28882089
Doryteuthis,Dpe26,Dopeav2088895m,73203183,73305055
Doryteuthis,Dpe05,Dopeav2017658m,59552006,59556059
Doryteuthis,Dpe18,Dopeav2064108m,44074510,44127769
Doryteuthis,Dpe19,Dopeav2066950m,30186740,30187978
Doryteuthis,Dpe23,Dopeav2079869m,74008558,74324999
Doryteuthis,Dpe04,Dopeav2012054m,190945,370629
Doryteuthis,Dpe35,Dopeav2112699m,18838598,18843356
Doryteuthis,Dpe16,Dopeav2058112m,66179278,66199149
Doryteuthis,Dpe41,Dopeav2126731m,27558910,27854858
Doryteuthis,Dpe06,Dopeav2020959m,39779048,39862477
Doryteuthis,Dpe28,Dopeav2095532m,87793496,87837006
Doryteuthis,Dpe09,Dopeav2031899m,51935204,51938951
Doryteuthis,Dpe01,Dopeav2000957m,37534782,37579285
Doryteuthis,Dpe21,Dopeav2074591m,93747533,93807706
Doryteuthis,Dpe40,Dopeav2124471m,27404773,27405501
Doryteuthis,Dpe02,Dopeav2007941m,137565505,137570940
Doryteuthis,Dpe33,Dopeav2107038m,9710839,9733281
Doryteuthis,Dpe13,Dopeav2045510m,23044355,23262441
Doryteuthis,Dpe20,Dopeav2069761m,34472664,34535734
Doryteuthis,Dpe33,Dopeav2108662m,54715372,54716794
Doryteuthis,Dpe25,Dopeav2084660m,30601822,30644361
Doryteuthis,Dpe25,Dopeav2084817m,35835762,35836193
Doryteuthis,Dpe33,Dopeav2107011m,8783278,8784007
Doryteuthis,Dpe16,Dopeav2056720m,18273076,18447022
Doryteuthis,Dpe43,Dopeav2131447m,42586799,42598546
Doryteuthis,Dpe38,Dopeav2119849m,20439962,20461854
Doryteuthis,Dpe08,Dopeav2029434m,85502428,85503684
Doryteuthis,Dpe19,Dopeav2066878m,27108031,27108792
Doryteuthis,Dpe23,Dopeav2080187m,87324781,87336557
Doryteuthis,Dpe46,Dopeav2135644m,14729601,14730877
Doryteuthis,Dpe07,Dopeav2023653m,765138,765455
Doryteuthis,Dpe07,Dopeav2025748m,83060594,83098889
Doryteuthis,Dpe18,Dopeav2063662m,28776766,28777074
Doryteuthis,Dpe44,Dopeav2133412m,46273955,46274488
Doryteuthis,Dpe05,Dopeav2018865m,110171382,110174158
Doryteuthis,Dpe11,Dopeav2040383m,101531500,101633218
Doryteuthis,Dpe09,Dopeav2032160m,62562736,62577209
Doryteuthis,Dpe06,Dopeav2021213m,49778132,49779797
Doryteuthis,Dpe37,Dopeav2118441m,38065977,38172042
Doryteuthis,Dpe19,Dopeav2067704m,55760592,55765060
Doryteuthis,Dpe21,Dopeav2074419m,86587427,86606723
Doryteuthis,Dpe28,Dopeav2094119m,47967112,48100616
Doryteuthis,Dpe18,Dopeav2065050m,69997921,70009705
Doryteuthis,Dpe43,Dopeav2131229m,36897170,36963098
Doryteuthis,Dpe23,Dopeav2079740m,69441541,69456185
Doryteuthis,Dpe41,Dopeav2126185m,12814742,12822728
Doryteuthis,Dpe12,Dopeav2043260m,67191302,67600062
Doryteuthis,Dpe08,Dopeav2028124m,41905755,42097357
Doryteuthis,Dpe14,Dopeav2048457m,8984037,8998460
Doryteuthis,Dpe11,Dopeav2039891m,87393861,87395017
Doryteuthis,Dpe10,Dopeav2036655m,104779341,104861824
Doryteuthis,Dpe19,Dopeav2068065m,70881091,70896541
Doryteuthis,Dpe19,Dopeav2067423m,47577403,47583248
Doryteuthis,Dpe15,Dopeav2055568m,106152611,106157678
Doryteuthis,Dpe22,Dopeav2076242m,42735974,42736201
Doryteuthis,Dpe21,Dopeav2072753m,33496553,33497284
Doryteuthis,Dpe30,Dopeav2098640m,7536006,7569327
Doryteuthis,Dpe27,Dopeav2089554m,1022506,1110828
Doryteuthis,Dpe01,Dopeav2000794m,30912962,30955349
Doryteuthis,Dpe16,Dopeav2057465m,44095330,44163504
Doryteuthis,Dpe25,Dopeav2083985m,10759872,10795716
Doryteuthis,Dpe35,Dopeav2113609m,48877630,48942771
Doryteuthis,Dpe25,Dopeav2086227m,75464304,75465525
Doryteuthis,Dpe05,Dopeav2017848m,66914481,67015930
Doryteuthis,Dpe08,Dopeav2030251m,121131541,121135715
Doryteuthis,Dpe05,Dopeav2018532m,95837072,95837482
Doryteuthis,Dpe10,Dopeav2036072m,81617505,81617708
Doryteuthis,Dpe18,Dopeav2066209m,107384833,107385099
Doryteuthis,Dpe03,Dopeav2011093m,110869048,111172113
Doryteuthis,Dpe09,Dopeav2030962m,20089450,20103178
Doryteuthis,Dpe10,Dopeav2037247m,126288040,126357256
Doryteuthis,Dpe23,Dopeav2080124m,84669199,84671982
Doryteuthis,Dpe17,Dopeav2060570m,38603171,38653878
Doryteuthis,Dpe14,Dopeav2050346m,88966350,88966700
Doryteuthis,Dpe32,Dopeav2104807m,28328647,28329240
Doryteuthis,Dpe33,Dopeav2108430m,46573249,46606139
Doryteuthis,Dpe14,Dopeav2051137m,115040700,115055000
Doryteuthis,Dpe07,Dopeav2027194m,130200425,130229565
Doryteuthis,Dpe40,Dopeav2124809m,37833351,37834678
Doryteuthis,Dpe25,Dopeav2085191m,46285541,46363597
Doryteuthis,Dpe07,Dopeav2025004m,55721225,55868330
Doryteuthis,Dpe09,Dopeav2031914m,52117581,52118507
Doryteuthis,Dpe06,Dopeav2022295m,88499852,88519741
Doryteuthis,Dpe30,Dopeav2100016m,45232387,45249626
Doryteuthis,Dpe11,Dopeav2037701m,11895283,11992847
Doryteuthis,Dpe46,Dopeav2135815m,19889603,19891806
Doryteuthis,Dpe43,Dopeav2131456m,42852435,42862233
Doryteuthis,Dpe10,Dopeav2037089m,121051199,121077937
Doryteuthis,Dpe17,Dopeav2061650m,71434561,71440348
Doryteuthis,Dpe19,Dopeav2067048m,33630748,33631583
Doryteuthis,Dpe39,Dopeav2122300m,28832315,28833477
Doryteuthis,Dpe12,Dopeav2042865m,56383711,56394890
Doryteuthis,Dpe18,Dopeav2063266m,16194821,16227622
Doryteuthis,Dpe43,Dopeav2131044m,31624121,31624459
Doryteuthis,Dpe44,Dopeav2132351m,18039535,18040714
Doryteuthis,Dpe15,Dopeav2055103m,96135586,96146848
Doryteuthis,Dpe12,Dopeav2041961m,19958719,20054474
Doryteuthis,Dpe24,Dopeav2081063m,12698882,12718606
Doryteuthis,Dpe24,Dopeav2082594m,63378749,63572799
Doryteuthis,Dpe03,Dopeav2009105m,29793347,29924836
Doryteuthis,Dpe32,Dopeav2106177m,71949835,71985803
Doryteuthis,Dpe22,Dopeav2077368m,86736664,87154866
Doryteuthis,Dpe42,Dopeav2129668m,48746187,48746578
Doryteuthis,Dpe05,Dopeav2016367m,14268529,14495302
Doryteuthis,Dpe41,Dopeav2127182m,38845352,38884905
Doryteuthis,Dpe09,Dopeav2031955m,53810839,53822725
Doryteuthis,Dpe01,Dopeav2001330m,50738964,50740043
Doryteuthis,Dpe15,Dopeav2054525m,84610654,84611202
Doryteuthis,Dpe10,Dopeav2035972m,76803007,76824084
Doryteuthis,Dpe21,Dopeav2072144m,8281187,8489052
Doryteuthis,Dpe46,Dopeav2135854m,21386866,21407380
Doryteuthis,Dpe16,Dopeav2058707m,84356137,84415707
Doryteuthis,Dpe07,Dopeav2025783m,84146275,84176622
Doryteuthis,Dpe16,Dopeav2056870m,22999531,23001613
Doryteuthis,Dpe26,Dopeav2088959m,75109663,75160267
Doryteuthis,Dpe18,Dopeav2063430m,21856709,21857266
Doryteuthis,Dpe13,Dopeav2047571m,97050290,97051933
Doryteuthis,Dpe46,Dopeav2136461m,38665627,38666660
Doryteuthis,Dpe04,Dopeav2015640m,130737924,130738827
Doryteuthis,Dpe19,Dopeav2068555m,94424194,94425981
Doryteuthis,Dpe41,Dopeav2127413m,45864902,46217358
Doryteuthis,Dpe24,Dopeav2082182m,48724855,48725537
Doryteuthis,Dpe41,Dopeav2126179m,12457981,12460703
Doryteuthis,Dpe15,Dopeav2055058m,95215047,95224736
Doryteuthis,Dpe14,Dopeav2049969m,72335837,72338725
Doryteuthis,Dpe32,Dopeav2105371m,45948132,45998033
Doryteuthis,Dpe41,Dopeav2127594m,50298701,50299857
Doryteuthis,Dpe22,Dopeav2077474m,92046309,92057654
Doryteuthis,Dpe11,Dopeav2040265m,97550822,97594061
Doryteuthis,Dpe18,Dopeav2063931m,39552899,39569144
Doryteuthis,Dpe32,Dopeav2104621m,23780365,23780882
Doryteuthis,Dpe41,Dopeav2126202m,13255582,13301601
Doryteuthis,Dpe40,Dopeav2124136m,18639970,18650354
Doryteuthis,Dpe18,Dopeav2063918m,38910330,39322000
Doryteuthis,Dpe23,Dopeav2080243m,88761859,88762532
Doryteuthis,Dpe06,Dopeav2020096m,9097516,9131540
Doryteuthis,Dpe11,Dopeav2038944m,58797826,58851059
Doryteuthis,Dpe06,Dopeav2023233m,120696829,120836612
Doryteuthis,Dpe15,Dopeav2056250m,123493452,123504069
Doryteuthis,Dpe16,Dopeav2058129m,66535316,66551498
Doryteuthis,Dpe06,Dopeav2022985m,112325513,112375396
Doryteuthis,Dpe36,Dopeav2115154m,21346998,21349597
Doryteuthis,Dpe10,Dopeav2036046m,79660106,79664173
Doryteuthis,Dpe15,Dopeav2052068m,22738848,22741646
Doryteuthis,Dpe14,Dopeav2050372m,89929236,90038306
Doryteuthis,Dpe17,Dopeav2060634m,40273179,40307059
Doryteuthis,Dpe27,Dopeav2091951m,69959358,70101233
Doryteuthis,Dpe06,Dopeav2020908m,37995975,38019347
Doryteuthis,Dpe24,Dopeav2083325m,87524290,87585629
Doryteuthis,Dpe36,Dopeav2115788m,38293960,38306018
Doryteuthis,Dpe02,Dopeav2005458m,50516460,50523605
Doryteuthis,Dpe26,Dopeav2086746m,415058,517476
Doryteuthis,Dpe28,Dopeav2092855m,4645411,4668789
Doryteuthis,Dpe18,Dopeav2064159m,44878207,44894195
Doryteuthis,Dpe36,Dopeav2115790m,38316403,38320972
Doryteuthis,Dpe42,Dopeav2129700m,49768584,49776243
Doryteuthis,Dpe13,Dopeav2045814m,33046999,33058202
Doryteuthis,Dpe25,Dopeav2084044m,12158230,12184836
Doryteuthis,Dpe08,Dopeav2028481m,54445067,54467853
Doryteuthis,Dpe39,Dopeav2123194m,54341799,54476193
Doryteuthis,Dpe24,Dopeav2083295m,86569481,86607509
Doryteuthis,Dpe23,Dopeav2077689m,2307588,2318759
Doryteuthis,Dpe20,Dopeav2070134m,47642422,47672673
Doryteuthis,Dpe10,Dopeav2037148m,123561440,123591118
Doryteuthis,Dpe25,Dopeav2083800m,5467380,5527802
Doryteuthis,Dpe24,Dopeav2082843m,71406445,71406882
Doryteuthis,Dpe30,Dopeav2100815m,76322546,76397485
Doryteuthis,Dpe12,Dopeav2042066m,24325619,24336137
Doryteuthis,Dpe06,Dopeav2023594m,133816257,133829155
Doryteuthis,Dpe15,Dopeav2055362m,101364146,101365710
Doryteuthis,Dpe26,Dopeav2087486m,24504341,24551073
Doryteuthis,Dpe46,Dopeav2135361m,6228480,6229177
Doryteuthis,Dpe06,Dopeav2023413m,126418557,126423099
Doryteuthis,Dpe12,Dopeav2041416m,3788172,3789341
Doryteuthis,Dpe02,Dopeav2007514m,122932436,122966992
Doryteuthis,Dpe11,Dopeav2038332m,33872899,33895651
Doryteuthis,Dpe12,Dopeav2042010m,21670809,21671634
Doryteuthis,Dpe22,Dopeav2076237m,42629701,42630225
Doryteuthis,Dpe01,Dopeav2001773m,71199921,71319154
Doryteuthis,Dpe27,Dopeav2089850m,9767020,9902393
Doryteuthis,Dpe29,Dopeav2096966m,45200972,45201916
Doryteuthis,Dpe27,Dopeav2090255m,22494761,22495785
Doryteuthis,Dpe36,Dopeav2115115m,20638259,20639978
Doryteuthis,Dpe43,Dopeav2131759m,50978026,50979944
Doryteuthis,Dpe27,Dopeav2089693m,5077992,5094867
Doryteuthis,Dpe04,Dopeav2013265m,45577697,45578894
Doryteuthis,scDpe1405,Dopeav2138276m,5551,5956
Doryteuthis,Dpe08,Dopeav2028290m,48859352,48860282
Doryteuthis,Dpe02,Dopeav2005251m,43983941,44018415
Doryteuthis,Dpe04,Dopeav2015467m,125832757,125848700
Doryteuthis,Dpe04,Dopeav2015554m,128769477,128799083
Doryteuthis,Dpe41,Dopeav2127843m,55748572,55755174
Doryteuthis,Dpe09,Dopeav2030871m,16687062,16690602
Doryteuthis,Dpe08,Dopeav2028320m,50121295,50229188
Doryteuthis,Dpe02,Dopeav2005962m,66078770,66113007
Doryteuthis,Dpe17,Dopeav2060403m,32321725,32401938
Doryteuthis,Dpe43,Dopeav2130264m,8775726,8785786
Doryteuthis,Dpe11,Dopeav2039142m,65519566,65572361
Doryteuthis,Dpe04,Dopeav2015473m,126513245,126521267
Doryteuthis,Dpe20,Dopeav2069603m,29150072,29157254
Doryteuthis,Dpe05,Dopeav2019232m,121884523,122060757
Doryteuthis,Dpe04,Dopeav2013088m,38929326,39052094
Doryteuthis,Dpe11,Dopeav2040206m,95332595,95414889
Doryteuthis,Dpe23,Dopeav2080493m,94339035,94339256
Doryteuthis,Dpe21,Dopeav2072762m,33638431,33652194
Doryteuthis,Dpe15,Dopeav2052808m,42594210,42608806
Doryteuthis,Dpe15,Dopeav2055793m,110645153,110645724
Doryteuthis,Dpe15,Dopeav2054788m,89906964,89914057
Doryteuthis,Dpe04,Dopeav2013090m,39072386,39081035
Doryteuthis,Dpe02,Dopeav2008220m,147756066,147756889
Doryteuthis,Dpe46,Dopeav2135325m,5583537,5646841
Doryteuthis,Dpe29,Dopeav2095806m,8141879,8399413
Doryteuthis,Dpe23,Dopeav2079058m,47638938,47681600
Doryteuthis,Dpe14,Dopeav2050885m,103887756,103887977
Doryteuthis,Dpe15,Dopeav2054154m,75879674,75892159
Doryteuthis,Dpe39,Dopeav2122354m,30425144,30425536
Doryteuthis,Dpe44,Dopeav2133497m,48059818,48060066
Doryteuthis,Dpe03,Dopeav2009110m,30105347,30165763
Doryteuthis,Dpe24,Dopeav2083274m,86281949,86403051
Doryteuthis,Dpe44,Dopeav2132004m,7231032,7244000
Doryteuthis,Dpe18,Dopeav2064062m,43089037,43161945
Doryteuthis,Dpe35,Dopeav2112742m,20934848,21028239
Doryteuthis,Dpe02,Dopeav2008388m,153627969,153653969
Doryteuthis,Dpe05,Dopeav2019412m,129373452,129521317
Doryteuthis,Dpe05,Dopeav2016620m,22510721,22515359
Doryteuthis,Dpe10,Dopeav2035825m,72417971,72434750
Doryteuthis,Dpe46,Dopeav2135800m,19578760,19580118
Doryteuthis,Dpe05,Dopeav2019876m,144773053,144895329
Doryteuthis,Dpe01,Dopeav2000026m,1159621,1191389
Doryteuthis,Dpe30,Dopeav2099724m,37085635,37086084
Doryteuthis,Dpe06,Dopeav2022854m,108466115,108662873
Doryteuthis,Dpe03,Dopeav2009917m,60796040,60889504
Doryteuthis,Dpe40,Dopeav2124691m,34532478,34616972
Doryteuthis,Dpe04,Dopeav2013428m,52408238,52409587
Doryteuthis,Dpe21,Dopeav2073153m,46785915,46823971
Doryteuthis,Dpe41,Dopeav2126378m,17487611,17715579
Doryteuthis,Dpe12,Dopeav2042806m,54593712,54605155
Doryteuthis,Dpe18,Dopeav2063205m,13946475,13946954
Doryteuthis,Dpe06,Dopeav2023575m,133114962,133146479
Doryteuthis,Dpe42,Dopeav2129287m,38631957,38632907
Doryteuthis,Dpe16,Dopeav2057184m,32434860,32436734
Doryteuthis,Dpe14,Dopeav2048986m,29561098,29561890
Doryteuthis,Dpe25,Dopeav2084384m,21768434,21889031
Doryteuthis,Dpe15,Dopeav2052285m,28789827,28792223
Doryteuthis,Dpe11,Dopeav2038679m,49280767,49283569
Doryteuthis,Dpe03,Dopeav2009795m,57674991,57766054
Doryteuthis,Dpe08,Dopeav2028440m,53520268,53725254
Doryteuthis,Dpe29,Dopeav2097469m,58343668,58349833
Doryteuthis,Dpe32,Dopeav2104665m,24376055,24482538
Doryteuthis,Dpe35,Dopeav2112479m,11090763,11154187
Doryteuthis,Dpe41,Dopeav2126464m,20528940,20540173
Doryteuthis,Dpe30,Dopeav2098804m,12024283,12027136
Doryteuthis,Dpe05,Dopeav2019183m,120506914,120511041
Doryteuthis,Dpe20,Dopeav2070313m,53678849,53784954
Doryteuthis,Dpe41,Dopeav2127662m,51761752,51762945
Doryteuthis,Dpe46,Dopeav2135985m,25235349,25235757
Doryteuthis,Dpe35,Dopeav2114103m,59916075,59916673
Doryteuthis,Dpe11,Dopeav2037497m,4107431,4113983
Doryteuthis,Dpe29,Dopeav2096527m,31262226,31321191
Doryteuthis,Dpe41,Dopeav2128011m,59653218,59668306
Doryteuthis,Dpe38,Dopeav2120374m,37483844,37556276
Doryteuthis,Dpe32,Dopeav2104546m,21443202,21450570
Doryteuthis,Dpe09,Dopeav2031884m,51414744,51442399
Doryteuthis,Dpe11,Dopeav2040221m,96037353,96039850
Doryteuthis,Dpe06,Dopeav2021230m,50362006,50585146
Doryteuthis,Dpe11,Dopeav2040090m,92736285,92737119
Doryteuthis,Dpe11,Dopeav2039176m,66472425,66473469
Doryteuthis,Dpe14,Dopeav2050107m,80115937,80117901
Doryteuthis,Dpe18,Dopeav2064358m,50226275,50352643
Doryteuthis,Dpe16,Dopeav2056613m,12579526,12614303
Doryteuthis,Dpe02,Dopeav2007833m,134381225,134417151
Doryteuthis,Dpe13,Dopeav2047732m,106049184,106049808
Doryteuthis,Dpe21,Dopeav2073286m,51218201,51324945
Doryteuthis,Dpe20,Dopeav2069875m,39424080,39536598
Doryteuthis,Dpe15,Dopeav2054561m,85108924,85112843
Doryteuthis,Dpe01,Dopeav2000825m,31762748,31763050
Doryteuthis,Dpe16,Dopeav2058298m,71988887,71990441
Doryteuthis,Dpe39,Dopeav2122861m,44109678,44252253
Doryteuthis,Dpe07,Dopeav2025864m,87119584,87206605
Doryteuthis,Dpe22,Dopeav2075601m,23140391,23149985
Doryteuthis,Dpe17,Dopeav2062504m,99442694,99505755
Doryteuthis,Dpe30,Dopeav2100800m,75833045,75872900
Doryteuthis,Dpe05,Dopeav2016269m,10431080,10440914
Doryteuthis,Dpe16,Dopeav2058280m,71211869,71212773
Doryteuthis,Dpe09,Dopeav2031222m,26261384,26403009
Doryteuthis,Dpe32,Dopeav2106163m,71390878,71475930
Doryteuthis,Dpe09,Dopeav2033419m,110430877,110743469
Doryteuthis,Dpe05,Dopeav2016373m,14285615,14495302
Doryteuthis,Dpe24,Dopeav2082662m,65142086,65145348
Doryteuthis,Dpe34,Dopeav2109645m,7569947,7598353
Doryteuthis,Dpe38,Dopeav2120468m,40920454,40986351
Doryteuthis,Dpe27,Dopeav2090382m,26436050,26469384
Doryteuthis,Dpe12,Dopeav2042821m,54823309,55034858
Doryteuthis,Dpe25,Dopeav2084924m,39558918,39567529
Doryteuthis,Dpe30,Dopeav2100325m,55592376,55614113
Doryteuthis,Dpe06,Dopeav2022361m,90169284,90247049
Doryteuthis,Dpe07,Dopeav2026258m,100651601,100682599
Doryteuthis,Dpe24,Dopeav2082575m,62750825,62782068
Doryteuthis,Dpe35,Dopeav2114058m,58764066,58792575
Doryteuthis,Dpe01,Dopeav2000001m,97551,319936
Doryteuthis,Dpe25,Dopeav2083854m,7100532,7416302
Doryteuthis,Dpe44,Dopeav2131892m,3680452,3762901
Doryteuthis,Dpe45,Dopeav2134675m,31371484,31465705
Doryteuthis,scDpe0284,Dopeav2137760m,55261,55743
Doryteuthis,Dpe11,Dopeav2040428m,103097035,103116902
Doryteuthis,Dpe34,Dopeav2110622m,34318397,34330878
Doryteuthis,Dpe19,Dopeav2067388m,46349612,46402450
Doryteuthis,Dpe09,Dopeav2033239m,102585891,102631499
Doryteuthis,Dpe32,Dopeav2105402m,47365341,47490954
Doryteuthis,Dpe13,Dopeav2047622m,99050241,99095184
Doryteuthis,Dpe04,Dopeav2014971m,103715132,103716103
Doryteuthis,Dpe19,Dopeav2067390m,46407371,46407571
Doryteuthis,Dpe43,Dopeav2131384m,41321048,41333916
Doryteuthis,Dpe02,Dopeav2004638m,23679079,23694154
Doryteuthis,Dpe14,Dopeav2048296m,100640,236760
Doryteuthis,Dpe13,Dopeav2047459m,91787460,91787738
Doryteuthis,Dpe39,Dopeav2123083m,51257927,51343942
Doryteuthis,Dpe36,Dopeav2115907m,41367673,41374816
Doryteuthis,Dpe25,Dopeav2086299m,77115165,77136264
Doryteuthis,Dpe21,Dopeav2074583m,93496000,93496395
Doryteuthis,Dpe22,Dopeav2075598m,23106671,23129398
Doryteuthis,Dpe27,Dopeav2089804m,7974192,7980422
Doryteuthis,Dpe41,Dopeav2127575m,49900062,49900277
Doryteuthis,Dpe29,Dopeav2097195m,50747610,50773770
Doryteuthis,Dpe01,Dopeav2003820m,148564079,148591412
Doryteuthis,Dpe09,Dopeav2032680m,85342951,85498808
Doryteuthis,Dpe22,Dopeav2077063m,74190938,74191439
Doryteuthis,Dpe10,Dopeav2037094m,121244090,121341429
Doryteuthis,Dpe18,Dopeav2064536m,54708453,54709073
Doryteuthis,Dpe02,Dopeav2007187m,108621532,108684520
Doryteuthis,Dpe07,Dopeav2025791m,84219766,84348997
Doryteuthis,Dpe05,Dopeav2019089m,117191644,117248364
Doryteuthis,Dpe26,Dopeav2088874m,73203183,73379796
Doryteuthis,Dpe24,Dopeav2082430m,57780634,57780918
Doryteuthis,Dpe11,Dopeav2038249m,32347022,32369949
Doryteuthis,Dpe23,Dopeav2079009m,46178744,46215380
Doryteuthis,Dpe42,Dopeav2129143m,34396235,34435594
Doryteuthis,Dpe32,Dopeav2104557m,21531985,21548442
Doryteuthis,Dpe15,Dopeav2054051m,73773854,73780480
Doryteuthis,Dpe24,Dopeav2081245m,18718909,18719349
Doryteuthis,Dpe09,Dopeav2031736m,46874874,46971535
Doryteuthis,Dpe46,Dopeav2135979m,25004649,25174373
Doryteuthis,Dpe41,Dopeav2127430m,46324200,46324736
Doryteuthis,Dpe20,Dopeav2069889m,39936266,40000146
Doryteuthis,Dpe15,Dopeav2054350m,80186696,80188330
Doryteuthis,Dpe43,Dopeav2130628m,18118078,18118730
Doryteuthis,Dpe15,Dopeav2052102m,23049206,23051386
Doryteuthis,Dpe45,Dopeav2133663m,1763140,1764677
Doryteuthis,Dpe40,Dopeav2124302m,22985340,23091695
Doryteuthis,Dpe20,Dopeav2069635m,30976935,31006409
Doryteuthis,Dpe05,Dopeav2018821m,108552491,108631436
Doryteuthis,Dpe30,Dopeav2098681m,8855626,8867338
Doryteuthis,Dpe15,Dopeav2055353m,101170315,101171361
Doryteuthis,Dpe21,Dopeav2073059m,42632275,42763273
Doryteuthis,Dpe44,Dopeav2132101m,10062294,10067464
Doryteuthis,Dpe33,Dopeav2108413m,45877529,45879385
Doryteuthis,Dpe03,Dopeav2011228m,117215416,117264520
Doryteuthis,Dpe06,Dopeav2021544m,65493901,65547766
Doryteuthis,Dpe11,Dopeav2039930m,88604009,88637893
Doryteuthis,Dpe43,Dopeav2130738m,21812081,21945989
Doryteuthis,Dpe02,Dopeav2007006m,101882623,101883655
Doryteuthis,Dpe13,Dopeav2046181m,44229712,44230033
Doryteuthis,Dpe03,Dopeav2011081m,110359723,110439953
Doryteuthis,Dpe20,Dopeav2071300m,87537025,87537780
Doryteuthis,Dpe15,Dopeav2053527m,60530585,60536142
Doryteuthis,Dpe06,Dopeav2020634m,28843936,28857182
Doryteuthis,Dpe41,Dopeav2127589m,50160266,50161681
Doryteuthis,Dpe09,Dopeav2031827m,50558531,50559422
Doryteuthis,Dpe34,Dopeav2109814m,12698018,12700020
Doryteuthis,Dpe28,Dopeav2093204m,16785929,16786762
Doryteuthis,Dpe20,Dopeav2071001m,77886371,78051765
Doryteuthis,Dpe06,Dopeav2022782m,105875567,105928245
Doryteuthis,Dpe19,Dopeav2068481m,89108170,89108724
Doryteuthis,Dpe30,Dopeav2099435m,30274586,30282141
Doryteuthis,Dpe20,Dopeav2071789m,103191608,103194545
Doryteuthis,Dpe02,Dopeav2007998m,139639308,139693571
Doryteuthis,Dpe35,Dopeav2112826m,24072768,24080554
Doryteuthis,Dpe17,Dopeav2060096m,24844026,24860943
Doryteuthis,Dpe18,Dopeav2063233m,15546253,15664325
Doryteuthis,Dpe29,Dopeav2095771m,7275294,7308961
Doryteuthis,Dpe41,Dopeav2126572m,23407580,23464142
Doryteuthis,Dpe02,Dopeav2007980m,138856220,138862746
Doryteuthis,Dpe24,Dopeav2082589m,63299039,63302170
Doryteuthis,Dpe21,Dopeav2074548m,92274092,92280152
Doryteuthis,Dpe37,Dopeav2118539m,41283172,41355390
Doryteuthis,Dpe05,Dopeav2017764m,62843352,62877952
Doryteuthis,Dpe25,Dopeav2084180m,15757459,15778660
Doryteuthis,Dpe01,Dopeav2000775m,30486861,30528200
Doryteuthis,Dpe19,Dopeav2067343m,44022730,44023240
Doryteuthis,Dpe41,Dopeav2127210m,40069638,40069928
Doryteuthis,Dpe37,Dopeav2117751m,18672504,18758307
Doryteuthis,Dpe12,Dopeav2042033m,22979155,22994797
Doryteuthis,Dpe42,Dopeav2129224m,36824137,36920109
Doryteuthis,Dpe35,Dopeav2112025m,453716,464692
Doryteuthis,Dpe45,Dopeav2134368m,22686121,22696957
Doryteuthis,Dpe16,Dopeav2057127m,30990967,31004548
Doryteuthis,Dpe32,Dopeav2105969m,64809447,64810399
Doryteuthis,Dpe15,Dopeav2054743m,88922021,88923021
Doryteuthis,Dpe15,Dopeav2055740m,109437390,109438336
Doryteuthis,Dpe19,Dopeav2066904m,28616428,28633748
Doryteuthis,Dpe34,Dopeav2110747m,40522124,40533309
Doryteuthis,Dpe15,Dopeav2053880m,69547560,69548727
Doryteuthis,Dpe30,Dopeav2099874m,41091484,41145612
Doryteuthis,Dpe27,Dopeav2090590m,32304132,32375580
Doryteuthis,Dpe09,Dopeav2031580m,42565621,42609720
Doryteuthis,Dpe31,Dopeav2103673m,76279715,76316217
Doryteuthis,Dpe27,Dopeav2090588m,32304132,32398288
Doryteuthis,Dpe45,Dopeav2134036m,13604230,13639474
Doryteuthis,Dpe13,Dopeav2046027m,40536602,40537229
Doryteuthis,Dpe09,Dopeav2031598m,43255902,43256192
Doryteuthis,scDpe1735,Dopeav2138339m,4557,4913
Doryteuthis,Dpe05,Dopeav2018607m,99505612,99554497
Doryteuthis,Dpe25,Dopeav2085256m,48779576,48857568
Doryteuthis,Dpe09,Dopeav2033422m,110794331,110811116
Doryteuthis,Dpe27,Dopeav2092505m,85400592,85401026
Doryteuthis,Dpe05,Dopeav2018806m,108243438,108264889
Doryteuthis,Dpe11,Dopeav2039418m,74288359,74291791
Doryteuthis,Dpe32,Dopeav2105738m,57069015,57070102
Doryteuthis,Dpe32,Dopeav2105711m,56604180,56605872
Doryteuthis,Dpe25,Dopeav2084297m,18344700,18389917
Doryteuthis,Dpe45,Dopeav2134474m,25547184,25548026
Doryteuthis,Dpe18,Dopeav2063843m,35584159,35680834
